S#,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
125,Panama City Beach,"Panama City Beach, Florida",3/28/2015,Home,Close,party guests,,"On March 28, 2015, seven people were wounded, several critically, in a shooting at a Spring Break house party early Saturday. The shooter was arrested after the shooting.",0,7,7,0,,,,No,Black American or African American,Male,30.22540212,-85.87371301
126,Little Water,"Little Water, New Mexico",3/19/2015,,,Policeman,psycho,"On March 19, 2015, police officer was shot and killed after responding to a domestic violence situation. The shooter was holding his family hostage and allegedly pistol-whipped his wife and mother. The suspect led police on a 40-mile chase from New Mexico to Arizona before he was shot and killed.",2,2,3,1,,,,Unknown,Unknown,Male,36.44329,-108.723281
127,Mesa,"Mesa, Arizona",3/18/2015,,Open,random,,"On March 18, 2015, the shootings started with an argument inside a motel room that spilled outside, one man dead and two women wounded. The gunman then shot another man who was working at a nearby restaurant. The gunman got away from the restaurant by carjacking the school instructor's car. The man then went to an apartment complex about 2 miles away, and shot another man. Another man was found in a neighboring apartment building with multiple gunshot wounds.",1,5,6,0,,,,No,White American or European American,Male,33.42268696,-111.8163202
128,Cottonwood,"Cottonwood, Alabama",3/15/2015,Home,Close,Family,,"On Sunday night of March 15, the man broke into a house and killed two people including his wife and shot another person before turning the gun on himself.",3,1,3,0,,,,No,White American or European American,Male,31.0549687,-85.30100084
129,Brookhaven,"Brookhaven, Mississippi",3/13/2015,Home,Close,House Owner,,"On early Friday morning of March 13, the man accused of shooting  the owners of a house, killing the two and critically injuring the other three. The man rented a room in the house. The man and the house owner had argued about something, and the man pulled out a gun and started shooting. He was found dead on Saturday, May 31, 2015 in his cell.",2,3,5,0,,,,Unknown,Black American or African American,Male,31.58036482,-90.44323475
130,Tarboro,"Tarboro, North Carolina",2/28/2015,Barber Shop,Open+Close,random,terrorism,"On Saturday afternoon of February 28, 2015, one of the fatal shootings happened at the Master's Touch barber shop around 1 p.m. Another shooting  happened at a nearby mobile home park. A woman and man were shot in that encounter. Police later shot and killed the suspected gunman after they tracked down the suspect. ",4,0,3,0,,,,Yes,Black American or African American,Male,35.90434471,-77.55639964
131,Birmingham's Washington Park,"Birmingham, Alabama",2/27/2015,street,Open,Friends,psycho,"On February 27, 2015, the online Facebook brawl between two groups of friends spilled out into the streets with a planned videotaped fight.  After the melee ensued, two teenage males pulled out guns and started shooting at the girls. The shots killed 14-year-old girl and wounded two others.",1,2,3,0,,,,No,Black American or African American,Male,33.5282865,-86.79550448
132,Tyrone,"Tyrone, Missouri",2/26/2015,Home,Close,Family,psycho,"Late night on February 26, a man entered the home of two of his cousins and shot them. Their daughter escaped the home and called the police. The shooter proceeded to four other nearby residences, killing two more of his cousins and three other acquaintances. The shooter then drove to another county and killed himself in his car. The shooter's mother, who lived with the shooter, was found dead from lung cancer in her home.",8,1,8,0,,,,No,White American or European American,Male,37.204442,-91.876583
133,Charlotte,"Charlotte, North Carolina",2/24/2015,Home,Close,Contestant,,"On February 24, 2015, ""America's Next Top Model"" contestant was killed in a triple homicide at her boyfriend's home.",3,0,3,0,,,,No,Some other race,Male,35.226354,-80.836788
134,Clarkesville,"Clarkesville, Georgia",2/22/2015,Home,Close,Ex-Wife,,"On February 22, 2015, A former police officer fatally shot his ex-wife and her friend, then wounded a local sheriff and a deputy at his ex-wife's home on Sunday before he was killed by the return fire from law enforcement.",3,2,4,0,,,,No,White American or European American,Male,34.61025711,-83.52918091
